geohash,hour_of_day,day_of_week,weekend,num_orders
4nxccu,22,6,1,1
4nxcd3,23,5,1,1
4nxcd4,15,0,0,1
4nxcd5,10,1,0,1
4nxcd5,12,5,1,1
4nxcd5,14,3,0,1
4nxcd5,23,4,0,1
4nxcd6,20,3,0,2
4nxcd6,20,4,0,1
4nxcd6,23,4,0,1
4nxcd7,9,4,0,1
4nxcd7,9,5,1,2
4nxcd7,10,1,0,1
4nxcd7,10,5,1,7
4nxcd7,10,6,1,1
4nxcd7,11,0,0,2
4nxcd7,11,1,0,1
4nxcd7,11,2,0,1
4nxcd7,11,3,0,1
4nxcd7,11,4,0,4
4nxcd7,11,5,1,1
4nxcd7,11,6,1,3
4nxcd7,12,0,0,1
4nxcd7,12,1,0,2
4nxcd7,12,2,0,1
4nxcd7,12,3,0,7
4nxcd7,12,4,0,4
4nxcd7,12,5,1,3
4nxcd7,12,6,1,1
4nxcd7,13,0,0,1
4nxcd7,13,2,0,1
4nxcd7,13,3,0,3
4nxcd7,13,4,0,1
4nxcd7,13,5,1,2
4nxcd7,13,6,1,1
4nxcd7,14,0,0,1
4nxcd7,14,1,0,3
4nxcd7,14,2,0,5
4nxcd7,14,3,0,1
4nxcd7,14,4,0,3
4nxcd7,14,5,1,1
4nxcd7,14,6,1,2
4nxcd7,15,0,0,1
4nxcd7,15,1,0,3
4nxcd7,15,2,0,1
4nxcd7,15,3,0,3
4nxcd7,15,4,0,2
4nxcd7,15,5,1,1
4nxcd7,15,6,1,2
4nxcd7,16,0,0,3
4nxcd7,16,1,0,2
4nxcd7,16,3,0,2
4nxcd7,16,4,0,2
4nxcd7,16,5,1,9
4nxcd7,16,6,1,1
4nxcd7,17,0,0,3
4nxcd7,17,1,0,2
4nxcd7,17,2,0,1
4nxcd7,17,4,0,2
4nxcd7,17,5,1,3
4nxcd7,17,6,1,3
4nxcd7,18,0,0,2
4nxcd7,18,2,0,4
4nxcd7,18,3,0,2
4nxcd7,18,4,0,3
4nxcd7,18,5,1,3
4nxcd7,18,6,1,1
4nxcd7,19,0,0,1
4nxcd7,19,1,0,1
4nxcd7,19,2,0,3
4nxcd7,19,3,0,2
4nxcd7,19,4,0,4
4nxcd7,19,6,1,3
4nxcd7,20,0,0,5
4nxcd7,20,1,0,3
4nxcd7,20,2,0,5
4nxcd7,20,3,0,7
4nxcd7,20,4,0,4
4nxcd7,20,5,1,3
4nxcd7,21,0,0,6
4nxcd7,21,1,0,6
4nxcd7,21,3,0,8
4nxcd7,21,4,0,8
4nxcd7,21,5,1,6
4nxcd7,21,6,1,2
4nxcd7,22,0,0,1
4nxcd7,22,1,0,3
4nxcd7,22,2,0,6
4nxcd7,22,3,0,2
4nxcd7,22,4,0,3
4nxcd7,22,5,1,4
4nxcd7,22,6,1,4
4nxcd7,23,0,0,1
4nxcd7,23,2,0,1
4nxcd7,23,3,0,1
4nxcd7,23,6,1,1
4nxcd9,19,0,0,3
4nxcd9,19,6,1,1
4nxcd9,20,4,0,1
4nxcdd,9,3,0,2
4nxcdd,9,6,1,2
4nxcdd,10,0,0,1
4nxcdd,10,1,0,1
4nxcdd,10,3,0,1
4nxcdd,10,5,1,1
4nxcdd,10,6,1,1
4nxcdd,11,0,0,1
4nxcdd,11,5,1,2
4nxcdd,11,6,1,1
4nxcdd,12,0,0,1
4nxcdd,12,2,0,1
4nxcdd,12,3,0,2
4nxcdd,12,4,0,1
4nxcdd,12,6,1,1
4nxcdd,13,1,0,2
4nxcdd,13,2,0,1
4nxcdd,13,3,0,1
4nxcdd,13,4,0,1
4nxcdd,13,6,1,3
4nxcdd,14,1,0,2
4nxcdd,14,3,0,1
4nxcdd,14,5,1,3
4nxcdd,14,6,1,2
4nxcdd,15,1,0,1
4nxcdd,15,4,0,2
4nxcdd,15,6,1,1
4nxcdd,16,0,0,1
4nxcdd,16,3,0,1
4nxcdd,16,4,0,2
4nxcdd,17,1,0,1
4nxcdd,17,5,1,1
4nxcdd,18,3,0,2
4nxcdd,18,4,0,2
4nxcdd,18,5,1,1
4nxcdd,18,6,1,1
4nxcdd,19,1,0,1
4nxcdd,19,6,1,1
4nxcdd,20,0,0,2
4nxcdd,20,2,0,1
4nxcdd,20,3,0,2
4nxcdd,20,4,0,1
4nxcdd,20,5,1,3
4nxcdd,20,6,1,3
4nxcdd,21,1,0,1
4nxcdd,21,5,1,2
4nxcdd,21,6,1,2
4nxcdd,22,3,0,2
4nxcdd,22,4,0,1
4nxcdd,22,5,1,1
4nxcdd,22,6,1,1
4nxcdd,23,1,0,1
4nxcdd,23,5,1,1
4nxcde,9,6,1,1
4nxcde,10,4,0,1
4nxcde,10,5,1,1
4nxcde,10,6,1,1
4nxcde,11,1,0,2
4nxcde,11,3,0,1
4nxcde,11,6,1,1
4nxcde,12,1,0,3
4nxcde,12,2,0,1
4nxcde,12,6,1,3
4nxcde,13,1,0,1
4nxcde,13,5,1,4
4nxcde,13,6,1,1
4nxcde,14,6,1,1
4nxcde,15,4,0,1
4nxcde,16,6,1,1
4nxcde,17,1,0,1
4nxcde,17,5,1,1
4nxcde,18,6,1,1
4nxcde,19,0,0,1
4nxcde,20,6,1,1
4nxcde,21,0,0,1
4nxcde,22,2,0,1
4nxcde,22,4,0,1
4nxcde,22,5,1,1
4nxcdf,12,1,0,1
4nxcdf,12,4,0,1
4nxcdf,14,4,0,3
4nxcdf,14,5,1,1
4nxcdf,18,3,0,1
4nxcdf,19,4,0,1
4nxcdf,19,5,1,1
4nxcdf,19,6,1,1
4nxcdf,21,5,1,1
4nxcdk,9,1,0,2
4nxcdk,9,2,0,3
4nxcdk,9,4,0,1
4nxcdk,9,5,1,1
4nxcdk,9,6,1,2
4nxcdk,10,0,0,1
4nxcdk,10,1,0,1
4nxcdk,10,2,0,1
4nxcdk,10,3,0,1
4nxcdk,10,4,0,1
4nxcdk,10,5,1,2
4nxcdk,10,6,1,2
4nxcdk,11,0,0,3
4nxcdk,11,1,0,4
4nxcdk,11,2,0,2
4nxcdk,11,3,0,3
4nxcdk,11,4,0,2
4nxcdk,11,5,1,4
4nxcdk,11,6,1,6
4nxcdk,12,0,0,3
4nxcdk,12,1,0,2
4nxcdk,12,2,0,1
4nxcdk,12,3,0,1
4nxcdk,12,4,0,7
4nxcdk,12,5,1,12
4nxcdk,12,6,1,7
4nxcdk,13,0,0,2
4nxcdk,13,1,0,1
4nxcdk,13,2,0,9
4nxcdk,13,3,0,3
4nxcdk,13,4,0,6
4nxcdk,13,5,1,4
4nxcdk,13,6,1,8
4nxcdk,14,0,0,3
4nxcdk,14,1,0,3
4nxcdk,14,2,0,3
4nxcdk,14,3,0,5
4nxcdk,14,4,0,8
4nxcdk,14,5,1,7
4nxcdk,14,6,1,12
4nxcdk,15,0,0,3
4nxcdk,15,1,0,1
4nxcdk,15,2,0,3
4nxcdk,15,3,0,2
4nxcdk,15,4,0,2
4nxcdk,15,5,1,5
4nxcdk,15,6,1,4
4nxcdk,16,0,0,2
4nxcdk,16,1,0,6
4nxcdk,16,2,0,6
4nxcdk,16,3,0,3
4nxcdk,16,4,0,8
4nxcdk,16,5,1,4
4nxcdk,16,6,1,2
4nxcdk,17,0,0,9
4nxcdk,17,1,0,6
4nxcdk,17,2,0,2
4nxcdk,17,3,0,8
4nxcdk,17,4,0,8
4nxcdk,17,5,1,4
4nxcdk,17,6,1,5
4nxcdk,18,0,0,8
4nxcdk,18,1,0,4
4nxcdk,18,2,0,3
4nxcdk,18,3,0,11
4nxcdk,18,4,0,7
4nxcdk,18,5,1,9
4nxcdk,18,6,1,8
4nxcdk,19,0,0,14
4nxcdk,19,1,0,6
4nxcdk,19,2,0,14
4nxcdk,19,3,0,6
4nxcdk,19,4,0,13
4nxcdk,19,5,1,19
4nxcdk,19,6,1,10
4nxcdk,20,0,0,12
4nxcdk,20,1,0,9
4nxcdk,20,2,0,14
4nxcdk,20,3,0,4
4nxcdk,20,4,0,4
4nxcdk,20,5,1,16
4nxcdk,20,6,1,15
4nxcdk,21,0,0,2
4nxcdk,21,1,0,5
4nxcdk,21,2,0,5
4nxcdk,21,3,0,10
4nxcdk,21,4,0,8
4nxcdk,21,5,1,10
4nxcdk,21,6,1,12
4nxcdk,22,0,0,5
4nxcdk,22,1,0,7
4nxcdk,22,2,0,1
4nxcdk,22,3,0,3
4nxcdk,22,4,0,7
4nxcdk,22,5,1,2
4nxcdk,22,6,1,6
4nxcdk,23,0,0,2
4nxcdk,23,1,0,1
4nxcdk,23,4,0,2
4nxcdk,23,5,1,3
4nxcdk,23,6,1,2
4nxcdm,9,0,0,1
4nxcdm,12,3,0,1
4nxcdm,17,0,0,1
4nxcdm,17,4,0,1
4nxcdm,17,5,1,1
4nxcdm,17,6,1,1
4nxcdm,18,0,0,1
4nxcdm,18,3,0,1
4nxcdm,19,3,0,2
4nxcdm,19,6,1,1
4nxcdm,20,0,0,1
4nxcdm,20,3,0,1
4nxcdm,20,4,0,1
4nxcdm,20,6,1,1
4nxcdm,21,4,0,2
4nxcdm,22,6,1,1
4nxcdn,12,3,0,1
4nxcdn,13,6,1,1
4nxcdn,14,5,1,1
4nxcdn,17,3,0,3
4nxcdn,20,6,1,1
4nxcdn,21,6,1,1
4nxcdp,11,2,0,1
4nxcdp,15,6,1,1
4nxcdp,17,4,0,2
4nxcdp,18,4,0,1
4nxcdp,19,0,0,1
4nxcdp,20,1,0,1
4nxcdp,22,0,0,2
4nxcdp,22,3,0,1
4nxcdp,23,0,0,4
4nxcdp,23,2,0,1
4nxcdp,23,4,0,1
4nxcdp,23,5,1,1
4nxcdp,23,6,1,1
4nxcdq,9,0,0,4
4nxcdq,9,1,0,1
4nxcdq,9,3,0,1
4nxcdq,9,4,0,1
4nxcdq,9,5,1,1
4nxcdq,9,6,1,4
4nxcdq,10,0,0,1
4nxcdq,10,2,0,2
4nxcdq,10,3,0,1
4nxcdq,10,5,1,1
4nxcdq,10,6,1,5
4nxcdq,11,0,0,1
4nxcdq,11,1,0,6
4nxcdq,11,2,0,7
4nxcdq,11,3,0,8
4nxcdq,11,4,0,3
4nxcdq,11,5,1,5
4nxcdq,11,6,1,10
4nxcdq,12,0,0,3
4nxcdq,12,1,0,7
4nxcdq,12,2,0,1
4nxcdq,12,3,0,2
4nxcdq,12,4,0,7
4nxcdq,12,5,1,10
4nxcdq,12,6,1,5
4nxcdq,13,0,0,3
4nxcdq,13,1,0,4
4nxcdq,13,2,0,8
4nxcdq,13,3,0,7
4nxcdq,13,4,0,7
4nxcdq,13,5,1,11
4nxcdq,13,6,1,18
4nxcdq,14,0,0,2
4nxcdq,14,1,0,11
4nxcdq,14,2,0,6
4nxcdq,14,3,0,1
4nxcdq,14,4,0,7
4nxcdq,14,5,1,15
4nxcdq,14,6,1,7
4nxcdq,15,0,0,5
4nxcdq,15,1,0,8
4nxcdq,15,2,0,8
4nxcdq,15,3,0,3
4nxcdq,15,4,0,9
4nxcdq,15,5,1,6
4nxcdq,15,6,1,7
4nxcdq,16,0,0,4
4nxcdq,16,1,0,1
4nxcdq,16,2,0,7
4nxcdq,16,3,0,4
4nxcdq,16,4,0,2
4nxcdq,16,5,1,5
4nxcdq,16,6,1,12
4nxcdq,17,0,0,6
4nxcdq,17,1,0,15
4nxcdq,17,2,0,5
4nxcdq,17,3,0,6
4nxcdq,17,4,0,2
4nxcdq,17,5,1,7
4nxcdq,17,6,1,4
4nxcdq,18,0,0,9
4nxcdq,18,1,0,5
4nxcdq,18,2,0,9
4nxcdq,18,3,0,7
4nxcdq,18,4,0,7
4nxcdq,18,5,1,9
4nxcdq,18,6,1,6
4nxcdq,19,0,0,13
4nxcdq,19,1,0,11
4nxcdq,19,2,0,4
4nxcdq,19,3,0,7
4nxcdq,19,4,0,12
4nxcdq,19,5,1,11
4nxcdq,19,6,1,17
4nxcdq,20,0,0,15
4nxcdq,20,1,0,11
4nxcdq,20,2,0,13
4nxcdq,20,3,0,10
4nxcdq,20,4,0,21
4nxcdq,20,5,1,12
4nxcdq,20,6,1,12
4nxcdq,21,0,0,18
4nxcdq,21,1,0,16
4nxcdq,21,2,0,30
4nxcdq,21,3,0,15
4nxcdq,21,4,0,16
4nxcdq,21,5,1,14
4nxcdq,21,6,1,14
4nxcdq,22,0,0,16
4nxcdq,22,1,0,13
4nxcdq,22,2,0,11
4nxcdq,22,3,0,14
4nxcdq,22,4,0,18
4nxcdq,22,5,1,11
4nxcdq,22,6,1,15
4nxcdq,23,0,0,2
4nxcdq,23,1,0,1
4nxcdq,23,2,0,3
4nxcdq,23,3,0,3
4nxcdq,23,4,0,2
4nxcdq,23,5,1,9
4nxcdr,9,0,0,3
4nxcdr,9,1,0,3
4nxcdr,9,2,0,4
4nxcdr,9,3,0,3
4nxcdr,9,4,0,1
4nxcdr,9,5,1,4
4nxcdr,9,6,1,5
4nxcdr,10,0,0,2
4nxcdr,10,1,0,4
4nxcdr,10,2,0,1
4nxcdr,10,3,0,1
4nxcdr,10,4,0,7
4nxcdr,10,5,1,2
4nxcdr,10,6,1,2
4nxcdr,11,0,0,2
4nxcdr,11,1,0,5
4nxcdr,11,2,0,4
4nxcdr,11,3,0,4
4nxcdr,11,4,0,5
4nxcdr,11,5,1,10
4nxcdr,11,6,1,11
4nxcdr,12,0,0,9
4nxcdr,12,1,0,5
4nxcdr,12,2,0,3
4nxcdr,12,3,0,3
4nxcdr,12,4,0,10
4nxcdr,12,5,1,12
4nxcdr,12,6,1,8
4nxcdr,13,0,0,14
4nxcdr,13,1,0,10
4nxcdr,13,2,0,9
4nxcdr,13,3,0,12
4nxcdr,13,4,0,11
4nxcdr,13,5,1,23
4nxcdr,13,6,1,22
4nxcdr,14,0,0,11
4nxcdr,14,1,0,12
4nxcdr,14,2,0,4
4nxcdr,14,3,0,6
4nxcdr,14,4,0,8
4nxcdr,14,5,1,9
4nxcdr,14,6,1,17
4nxcdr,15,0,0,3
4nxcdr,15,1,0,11
4nxcdr,15,2,0,8
4nxcdr,15,3,0,6
4nxcdr,15,4,0,6
4nxcdr,15,5,1,9
4nxcdr,15,6,1,12
4nxcdr,16,0,0,10
4nxcdr,16,1,0,5
4nxcdr,16,2,0,5
4nxcdr,16,3,0,6
4nxcdr,16,4,0,11
4nxcdr,16,5,1,11
4nxcdr,16,6,1,8
4nxcdr,17,0,0,8
4nxcdr,17,1,0,9
4nxcdr,17,2,0,10
4nxcdr,17,3,0,9
4nxcdr,17,4,0,6
4nxcdr,17,5,1,14
4nxcdr,17,6,1,16
4nxcdr,18,0,0,8
4nxcdr,18,1,0,9
4nxcdr,18,2,0,10
4nxcdr,18,3,0,14
4nxcdr,18,4,0,9
4nxcdr,18,5,1,11
4nxcdr,18,6,1,6
4nxcdr,19,0,0,10
4nxcdr,19,1,0,7
4nxcdr,19,2,0,11
4nxcdr,19,3,0,14
4nxcdr,19,4,0,10
4nxcdr,19,5,1,16
4nxcdr,19,6,1,14
4nxcdr,20,0,0,24
4nxcdr,20,1,0,21
4nxcdr,20,2,0,18
4nxcdr,20,3,0,16
4nxcdr,20,4,0,23
4nxcdr,20,5,1,13
4nxcdr,20,6,1,50
4nxcdr,21,0,0,26
4nxcdr,21,1,0,28
4nxcdr,21,2,0,27
4nxcdr,21,3,0,25
4nxcdr,21,4,0,18
4nxcdr,21,5,1,28
4nxcdr,21,6,1,34
4nxcdr,22,0,0,17
4nxcdr,22,1,0,11
4nxcdr,22,2,0,11
4nxcdr,22,3,0,18
4nxcdr,22,4,0,5
4nxcdr,22,5,1,20
4nxcdr,22,6,1,12
4nxcdr,23,0,0,4
4nxcdr,23,1,0,5
4nxcdr,23,2,0,3
4nxcdr,23,3,0,1
4nxcdr,23,4,0,3
4nxcdr,23,5,1,6
4nxcdr,23,6,1,8
4nxcds,14,4,0,1
4nxcds,15,0,0,2
4nxcds,15,3,0,1
4nxcds,15,4,0,1
4nxcds,16,6,1,1
4nxcds,18,0,0,2
4nxcds,18,4,0,1
4nxcds,18,5,1,1
4nxcds,20,0,0,2
4nxcds,20,2,0,1
4nxcds,22,6,1,1
4nxcds,23,5,1,3
4nxcdt,9,2,0,2
4nxcdt,9,3,0,2
4nxcdt,9,4,0,1
4nxcdt,9,5,1,6
4nxcdt,9,6,1,2
4nxcdt,10,0,0,2
4nxcdt,10,1,0,1
4nxcdt,10,3,0,1
4nxcdt,10,4,0,2
4nxcdt,10,5,1,4
4nxcdt,10,6,1,5
4nxcdt,11,0,0,5
4nxcdt,11,1,0,1
4nxcdt,11,2,0,3
4nxcdt,11,3,0,3
4nxcdt,11,4,0,2
4nxcdt,11,5,1,7
4nxcdt,11,6,1,2
4nxcdt,12,0,0,8
4nxcdt,12,1,0,3
4nxcdt,12,2,0,15
4nxcdt,12,3,0,5
4nxcdt,12,4,0,7
4nxcdt,12,5,1,10
4nxcdt,12,6,1,7
4nxcdt,13,0,0,13
4nxcdt,13,1,0,8
4nxcdt,13,2,0,5
4nxcdt,13,3,0,5
4nxcdt,13,4,0,9
4nxcdt,13,5,1,10
4nxcdt,13,6,1,10
4nxcdt,14,0,0,6
4nxcdt,14,1,0,12
4nxcdt,14,2,0,9
4nxcdt,14,3,0,11
4nxcdt,14,4,0,12
4nxcdt,14,5,1,15
4nxcdt,14,6,1,10
4nxcdt,15,0,0,6
4nxcdt,15,1,0,8
4nxcdt,15,2,0,2
4nxcdt,15,3,0,9
4nxcdt,15,4,0,7
4nxcdt,15,5,1,7
4nxcdt,15,6,1,15
4nxcdt,16,0,0,4
4nxcdt,16,1,0,9
4nxcdt,16,2,0,11
4nxcdt,16,3,0,8
4nxcdt,16,4,0,7
4nxcdt,16,5,1,6
4nxcdt,16,6,1,8
4nxcdt,17,0,0,4
4nxcdt,17,1,0,3
4nxcdt,17,2,0,8
4nxcdt,17,3,0,7
4nxcdt,17,4,0,6
4nxcdt,17,5,1,6
4nxcdt,17,6,1,2
4nxcdt,18,0,0,4
4nxcdt,18,1,0,7
4nxcdt,18,2,0,8
4nxcdt,18,3,0,3
4nxcdt,18,4,0,3
4nxcdt,18,5,1,7
4nxcdt,18,6,1,14
4nxcdt,19,0,0,4
4nxcdt,19,1,0,7
4nxcdt,19,2,0,7
4nxcdt,19,3,0,8
4nxcdt,19,4,0,8
4nxcdt,19,5,1,10
4nxcdt,19,6,1,23
4nxcdt,20,0,0,6
4nxcdt,20,1,0,20
4nxcdt,20,2,0,14
4nxcdt,20,3,0,12
4nxcdt,20,4,0,20
4nxcdt,20,5,1,17
4nxcdt,20,6,1,15
4nxcdt,21,0,0,21
4nxcdt,21,1,0,9
4nxcdt,21,2,0,16
4nxcdt,21,3,0,9
4nxcdt,21,4,0,13
4nxcdt,21,5,1,21
4nxcdt,21,6,1,25
4nxcdt,22,0,0,17
4nxcdt,22,1,0,16
4nxcdt,22,2,0,28
4nxcdt,22,3,0,9
4nxcdt,22,4,0,14
4nxcdt,22,5,1,20
4nxcdt,22,6,1,21
4nxcdt,23,0,0,3
4nxcdt,23,1,0,6
4nxcdt,23,2,0,3
4nxcdt,23,3,0,6
4nxcdt,23,4,0,7
4nxcdt,23,5,1,13
4nxcdt,23,6,1,3
4nxcdw,9,0,0,3
4nxcdw,9,1,0,3
4nxcdw,9,2,0,12
4nxcdw,9,3,0,5
4nxcdw,9,4,0,6
4nxcdw,9,5,1,10
4nxcdw,9,6,1,13
4nxcdw,10,0,0,2
4nxcdw,10,1,0,2
4nxcdw,10,2,0,4
4nxcdw,10,3,0,13
4nxcdw,10,4,0,9
4nxcdw,10,5,1,15
4nxcdw,10,6,1,32
4nxcdw,11,0,0,16
4nxcdw,11,1,0,19
4nxcdw,11,2,0,14
4nxcdw,11,3,0,19
4nxcdw,11,4,0,18
4nxcdw,11,5,1,24
4nxcdw,11,6,1,20
4nxcdw,12,0,0,31
4nxcdw,12,1,0,12
4nxcdw,12,2,0,27
4nxcdw,12,3,0,28
4nxcdw,12,4,0,17
4nxcdw,12,5,1,34
4nxcdw,12,6,1,48
4nxcdw,13,0,0,29
4nxcdw,13,1,0,25
4nxcdw,13,2,0,27
4nxcdw,13,3,0,33
4nxcdw,13,4,0,28
4nxcdw,13,5,1,57
4nxcdw,13,6,1,57
4nxcdw,14,0,0,20
4nxcdw,14,1,0,18
4nxcdw,14,2,0,23
4nxcdw,14,3,0,18
